,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona
1,1,1,adulto,7,3,Secundaria_completada,Ocupado,Ingreso_Bajo
2,1,1,adulto,7,5,Secundaria_completada,Ocupado,Ingreso_Alto
4,1,1,adulto,7,3,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
5,1,1,ciudadano_de_oro,1,3,Secundaria_completada,Ocupado,Ingreso_Bajo
7,1,1,adulto,6,6,Universidad_completada,Ocupado,Ingreso_Bajo
8,1,1,adulto,6,6,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
9,1,1,adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Medio_Alto
10,1,1,joven_adulto,5,5,Universidad_completada,Retirado,Ingreso_Bajo
13,1,1,joven_adulto,3,3,Secundaria_completada,Retirado,Ingreso_Bajo
14,1,1,adulto,2,3,Secundaria_completada,Ocupado,Ingreso_Bajo
15,1,1,adulto,4,4,Universidad_completada,Ocupado,Ingreso_Alto
16,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
17,1,1,adulto,1,6,Sin_educacion,Ocupado,Ingreso_Bajo
18,1,1,adulto,1,6,Sin_educacion,Ocupado,Ingreso_Bajo
19,1,1,joven_adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Bajo
20,1,1,ciudadano_de_oro,1,6,Secundaria_completada,Retirado,Ingreso_Bajo
21,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
22,1,1,adulto,1,6,Secundaria_completada,Ocupado,Ingreso_Bajo
23,1,1,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
25,1,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
26,1,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
27,1,1,adulto,5,5,Universidad_completada,Ocupado,Ingreso_Medio_Alto
30,1,2,adulto,7,4,Secundaria_completada,Ocupado,Ingreso_Bajo
33,1,2,joven_adulto,5,5,Secundaria_completada,Retirado,Ingreso_Bajo
34,1,2,joven_adulto,1,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
36,1,2,joven_adulto,3,3,Secundaria_completada,Ocupado,Ingreso_Bajo
37,1,2,adulto,3,3,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
39,1,2,adulto,7,2,Secundaria_completada,Ocupado,Ingreso_Bajo
40,1,2,adulto,6,2,Sin_educacion,Retirado,Ingreso_Bajo
41,1,2,joven_adulto,7,2,Secundaria_completada,Ocupado,Ingreso_Bajo
43,1,2,adulto,3,6,Secundaria_completada,Ocupado,Ingreso_Bajo
45,1,2,adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Bajo
47,1,2,adulto,6,6,Desconocido,Ocupado,Ingreso_Bajo
48,1,2,adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
51,1,2,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
52,1,2,joven_adulto,6,6,Secundaria_completada,Retirado,Ingreso_Bajo
53,1,2,adulto,2,6,Secundaria_completada,Ocupado,Ingreso_Bajo
55,1,2,adulto,1,5,Secundaria_completada,Retirado,Ingreso_Bajo
56,1,2,ciudadano_de_oro,1,5,Universidad_completada,Retirado,Ingreso_Medio_Bajo
57,1,2,ciudadano_de_oro,1,3,Secundaria_completada,Ocupado,Ingreso_Bajo
58,1,2,adulto,1,3,Secundaria_completada,Ocupado,Ingreso_Bajo
59,1,1,joven_adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
60,1,2,joven_adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
61,1,2,joven_adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Bajo
62,1,2,adulto,9,3,Desconocido,Ocupado,Ingreso_Bajo
66,2,1,adulto,7,5,Secundaria_completada,Ocupado,Ingreso_Bajo
67,2,1,adulto,7,1,Sin_educacion,Ocupado,Ingreso_Bajo
68,2,1,joven_adulto,2,1,Secundaria_completada,Ocupado,Ingreso_Bajo
70,2,1,adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Bajo
71,2,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
72,2,1,adulto,2,1,Universidad_completada,Ocupado,Ingreso_Bajo
73,2,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
74,2,1,adulto,4,1,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
75,2,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
77,2,1,adulto,2,1,Universidad_completada,Ocupado,Ingreso_Bajo
78,2,1,adulto,2,1,Secundaria_completada,Ocupado,Ingreso_Bajo
79,2,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
80,2,1,adulto,3,3,Sin_educacion,Ocupado,Ingreso_Bajo
81,2,1,adulto,2,1,Secundaria_completada,Retirado,Ingreso_Bajo
82,2,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
85,2,2,adulto,2,1,Secundaria_completada,Ocupado,Ingreso_Bajo
86,2,2,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
88,2,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
89,2,2,adulto,6,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
91,2,2,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
92,2,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
93,2,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
94,2,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
96,2,2,ciudadano_de_oro,3,3,Sin_educacion,Retirado,Ingreso_Bajo
97,3,1,adulto,5,1,Secundaria_completada,Ocupado,Ingreso_Bajo
98,1,2,joven_adulto,1,4,Secundaria_completada,Retirado,Ingreso_Bajo
100,3,1,joven_adulto,4,5,Secundaria_completada,Ocupado,Ingreso_Bajo
101,3,1,adulto,5,4,Secundaria_completada,Retirado,Ingreso_Medio_Bajo
102,3,1,adulto,1,4,Universidad_completada,Ocupado,Ingreso_Medio_Alto
103,3,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
105,3,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
106,3,1,adulto,2,2,Secundaria_completada,Desempleado,Ingreso_Bajo
107,3,1,adulto,4,1,Universidad_completada,Retirado,Ingreso_Medio_Alto
108,3,2,adulto,3,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
111,3,2,adulto,3,1,Secundaria_completada,Ocupado,Ingreso_Bajo
112,3,2,adulto,3,1,Secundaria_completada,Retirado,Ingreso_Bajo
113,3,2,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
114,3,2,adulto,7,4,Secundaria_completada,Ocupado,Ingreso_Bajo
115,3,2,adulto,7,4,Secundaria_completada,Ocupado,Ingreso_Bajo
116,3,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
117,3,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
119,3,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
120,3,2,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
121,3,2,adulto,4,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
123,3,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Bajo
126,3,2,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
127,3,2,adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
128,3,2,adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Bajo
130,3,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Bajo
132,3,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
133,3,2,adulto,2,2,Secundaria_completada,Desempleado,Ingreso_Bajo
134,3,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
135,3,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
136,3,2,adulto,2,4,Secundaria_completada,Ocupado,Ingreso_Bajo
137,3,2,adulto,2,4,Secundaria_completada,Ocupado,Ingreso_Bajo
138,4,1,adulto,1,2,Universidad_completada,Ocupado,Ingreso_Alto
139,4,1,adulto,4,1,Universidad_completada,Ocupado,Ingreso_Bajo
140,4,1,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
141,4,1,adulto,4,2,Secundaria_completada,Ocupado,Ingreso_Bajo
142,4,1,adulto,4,2,Universidad_completada,Ocupado,Ingreso_Bajo
143,4,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Medio_Alto
144,4,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
146,4,2,joven_adulto,4,2,Secundaria_completada,Retirado,Ingreso_Bajo
148,4,2,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
152,4,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Bajo
154,4,2,adulto,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
156,4,2,adulto,3,3,Secundaria_completada,Retirado,Ingreso_Bajo
157,4,2,adulto,4,5,Secundaria_completada,Retirado,Ingreso_Bajo
159,3,2,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
161,3,2,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
162,4,2,adulto,2,1,Secundaria_completada,Retirado,Ingreso_Bajo
163,4,2,joven_adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
164,4,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
165,4,2,ciudadano_de_oro,3,5,Sin_educacion,Retirado,Ingreso_Bajo
168,4,2,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
172,4,2,adulto,4,5,Secundaria_completada,Desempleado,Ingreso_Bajo
173,4,2,ciudadano_de_oro,3,6,Secundaria_completada,Ocupado,Ingreso_Bajo
175,4,2,adulto,3,3,Secundaria_completada,Ocupado,Ingreso_Bajo
177,4,2,joven_adulto,3,3,Secundaria_completada,Ocupado,Ingreso_Bajo
178,5,2,adulto,5,6,Secundaria_completada,Ocupado,Ingreso_Bajo
180,5,2,adulto,5,1,Secundaria_completada,Ocupado,Ingreso_Bajo
181,4,2,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
182,4,2,joven_adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
183,5,2,adulto,5,1,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
184,4,2,adulto,5,5,Secundaria_completada,Retirado,Ingreso_Bajo
186,5,2,adulto,5,4,Secundaria_completada,Ocupado,Ingreso_Bajo
187,5,2,adulto,6,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
188,5,2,adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
189,5,2,adulto,2,1,Secundaria_completada,Ocupado,Ingreso_Bajo
190,5,1,adulto,5,4,Secundaria_completada,Ocupado,Ingreso_Bajo
191,5,2,ciudadano_de_oro,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
193,5,2,adulto,5,2,Secundaria_completada,Ocupado,Ingreso_Bajo
194,5,1,adulto,5,2,Secundaria_completada,Ocupado,Ingreso_Bajo
195,5,2,adulto,1,3,Secundaria_completada,Ocupado,Ingreso_Bajo
197,5,2,adulto,2,2,Secundaria_completada,Retirado,Ingreso_Bajo
198,5,2,adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Bajo
199,5,2,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
201,5,2,joven_adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
202,5,2,ciudadano_de_oro,7,4,Secundaria_completada,Retirado,Ingreso_Bajo
203,5,2,adulto,1,4,Secundaria_completada,Ocupado,Ingreso_Bajo
204,5,2,adulto,2,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
206,6,1,adulto,6,1,Universidad_completada,Ocupado,Ingreso_Bajo
207,6,1,adulto,6,1,Universidad_completada,Ocupado,Ingreso_Alto
208,5,2,adulto,1,6,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
209,5,2,adulto,5,6,Secundaria_completada,Ocupado,Ingreso_Bajo
210,6,1,adulto,6,4,Universidad_completada,Ocupado,Ingreso_Medio_Alto
212,6,1,joven_adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Bajo
213,6,1,adulto,6,1,Secundaria_completada,Ocupado,Ingreso_Bajo
215,6,1,joven_adulto,6,3,Secundaria_completada,Ocupado,Ingreso_Bajo
216,6,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Alto
217,6,1,adulto,6,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
219,6,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Bajo
220,6,1,adulto,6,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
221,6,1,adulto,6,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
222,6,1,joven_adulto,1,1,Universidad_completada,Retirado,Ingreso_Bajo
223,6,1,adulto,1,5,Universidad_completada,Ocupado,Ingreso_Medio_Alto
224,6,1,adulto,7,1,Secundaria_completada,Desempleado,Ingreso_Bajo
225,6,1,adulto,2,1,Secundaria_completada,Ocupado,Ingreso_Bajo
226,6,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
228,6,2,joven_adulto,7,1,Sin_educacion,Ocupado,Ingreso_Bajo
229,6,2,ciudadano_de_oro,4,4,Secundaria_completada,Desempleado,Ingreso_Bajo
230,6,2,ciudadano_de_oro,4,1,Secundaria_completada,Retirado,Ingreso_Bajo
234,6,2,adulto,4,1,Secundaria_completada,Desempleado,Ingreso_Bajo
235,6,2,adulto,3,3,Secundaria_completada,Ocupado,Ingreso_Bajo
237,6,2,joven_adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
238,6,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
240,6,2,adulto,6,1,Secundaria_completada,Retirado,Ingreso_Bajo
241,6,2,adulto,6,2,Universidad_completada,Ocupado,Ingreso_Bajo
242,6,2,joven_adulto,7,1,Sin_educacion,Ocupado,Ingreso_Bajo
246,6,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
247,6,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
248,6,2,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
250,6,2,joven_adulto,6,1,Secundaria_completada,Ocupado,Ingreso_Bajo
251,1,1,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
253,1,1,adulto,2,2,Universidad_completada,Ocupado,Ingreso_Medio_Alto
255,1,1,adulto,1,6,Secundaria_completada,Retirado,Ingreso_Bajo
256,1,1,adulto,4,4,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
257,1,1,joven_adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
258,1,1,joven_adulto,1,4,Universidad_completada,Retirado,Ingreso_Bajo
259,1,1,adulto,2,2,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
260,1,1,joven_adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
261,1,1,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
262,1,1,joven_adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
264,1,1,joven_adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
265,1,1,adulto,4,5,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
266,1,1,adulto,4,5,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
269,1,1,adulto,1,3,Universidad_completada,Ocupado,Ingreso_Bajo
270,1,1,adulto,1,6,Secundaria_completada,Ocupado,Ingreso_Bajo
271,1,1,adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Bajo
272,1,1,adulto,3,2,Universidad_completada,Ocupado,Ingreso_Alto
273,1,1,adulto,7,3,Universidad_completada,Ocupado,Ingreso_Medio_Alto
275,1,1,ciudadano_de_oro,1,6,Secundaria_completada,Retirado,Ingreso_Bajo
276,1,1,joven_adulto,2,2,Secundaria_completada,Retirado,Ingreso_Bajo
277,1,1,joven_adulto,4,2,Universidad_completada,Retirado,Ingreso_Bajo
278,1,1,adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
280,1,2,joven_adulto,4,4,Universidad_completada,Ocupado,Ingreso_Bajo
281,1,2,adulto,1,3,Secundaria_completada,Ocupado,Ingreso_Bajo
283,1,2,adulto,1,5,Universidad_completada,Ocupado,Ingreso_Bajo
287,2,1,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
289,2,1,ciudadano_de_oro,2,1,Sin_educacion,Retirado,Ingreso_Bajo
290,2,1,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
291,2,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
293,3,1,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
294,3,1,ciudadano_de_oro,3,6,Secundaria_completada,Ocupado,Ingreso_Bajo
295,3,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
296,3,2,adulto,3,4,Secundaria_completada,Ocupado,Ingreso_Bajo
298,3,2,adulto,2,4,Secundaria_completada,Ocupado,Ingreso_Bajo
300,3,2,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
301,3,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
303,3,2,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
