,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona
324,6,2,joven_adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
226,4,2,adulto,3,3,Secundaria_completada,Ocupado,
234,4,2,adulto,4,1,Secundaria_completada,Retirado,
166,3,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
36,1,1,ciudadano_de_oro,7,2,Desconocido,Ocupado,Ingreso_Bajo
82,1,1,joven_adulto,2,2,Secundaria_completada,Desempleado,
9,1,1,adulto,1,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
225,4,2,joven_adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
120,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
185,3,1,adulto,4,5,Secundaria_completada,Retirado,
146,2,1,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
41,1,1,ciudadano_de_oro,1,3,Secundaria_completada,Retirado,Ingreso_Bajo
170,3,1,joven_adulto,1,1,Secundaria_completada,Desempleado,
97,1,1,adulto,1,3,Universidad_completada,Ocupado,Ingreso_Medio_Alto
210,3,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
52,1,1,adulto,1,5,Universidad_completada,Ocupado,Ingreso_Medio_Alto
246,5,1,ciudadano_de_oro,2,1,Secundaria_completada,Retirado,Ingreso_Bajo
279,5,2,adulto,5,4,Secundaria_completada,Ocupado,Ingreso_Bajo
12,1,1,adulto,5,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
28,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
54,1,1,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
79,1,1,adulto,1,6,Secundaria_completada,Ocupado,Ingreso_Bajo
191,3,1,adulto,1,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
131,1,2,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
84,1,1,adulto,7,2,Secundaria_completada,Ocupado,Ingreso_Bajo
83,1,1,joven_adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
119,1,1,adulto,2,5,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
255,5,1,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
312,6,2,adulto,6,1,Secundaria_completada,Ocupado,Ingreso_Bajo
306,6,2,,5,5,Secundaria_completada,Retirado,
245,5,1,adulto,5,3,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
152,2,1,,1,1,Secundaria_completada,Retirado,
259,5,1,joven_adulto,5,4,Secundaria_completada,Ocupado,Ingreso_Bajo
203,3,2,joven_adulto,1,1,Secundaria_completada,Desempleado,
113,1,1,ciudadano_de_oro,1,6,Secundaria_completada,Retirado,Ingreso_Medio_Bajo
294,6,1,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
283,6,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
32,1,1,adulto,1,5,Secundaria_completada,Desempleado,
165,3,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
139,2,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
219,4,1,adulto,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
103,1,1,adulto,4,4,Secundaria_completada,Retirado,
304,6,2,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
317,6,2,joven_adulto,2,2,Secundaria_completada,Retirado,
2,1,1,joven_adulto,7,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
310,6,2,joven_adulto,6,2,Secundaria_completada,Ocupado,Ingreso_Bajo
57,1,1,joven_adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Bajo
151,2,1,joven_adulto,1,1,Secundaria_completada,Desempleado,
60,1,1,adulto,2,3,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
256,5,1,adulto,5,2,Secundaria_completada,Ocupado,Ingreso_Bajo
281,5,2,adulto,7,6,Secundaria_completada,Retirado,Ingreso_Bajo
187,3,1,adulto,5,1,Secundaria_completada,Retirado,
55,1,1,joven_adulto,1,6,Secundaria_completada,Retirado,
72,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
276,5,2,adulto,1,6,Secundaria_completada,Retirado,Ingreso_Bajo
220,4,1,adulto,3,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
278,5,2,joven_adulto,5,1,Secundaria_completada,Retirado,
80,1,1,adulto,1,6,Secundaria_completada,Ocupado,
156,2,1,joven_adulto,5,5,Secundaria_completada,Retirado,Ingreso_Bajo
0,1,1,joven_adulto,4,4,Secundaria_completada,Retirado,Ingreso_Bajo
190,3,1,adulto,3,1,Secundaria_completada,Ocupado,Ingreso_Bajo
295,6,1,adulto,1,1,Universidad_completada,Retirado,
126,1,2,ciudadano_de_oro,1,6,Sin_educacion,Retirado,Ingreso_Bajo
26,1,1,adulto,6,6,Universidad_completada,Retirado,Ingreso_Bajo
76,1,1,adulto,2,2,Universidad_completada,Ocupado,Ingreso_Bajo
159,2,2,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Bajo
